FileNames 	 Precision 	 Recall 	 F-Score 	 Error 
2016-05-27-02-48-04-wahrsis3-undist.jpg 	 0.999962 	 0.812497 	 0.896534 	 12.060800 
2016-05-27-20-02-06-wahrsis3-undist.jpg 	 0.877164 	 0.444662 	 0.590155 	 12.386000 
2016-05-27-20-12-05-wahrsis3-undist.jpg 	 0.399969 	 0.874405 	 0.548873 	 18.732400 
2016-05-28-21-38-03-wahrsis3-undist.jpg 	 0.998269 	 0.633506 	 0.775118 	 15.523600 
2016-05-28-21-44-03-wahrsis3-undist.jpg 	 0.995883 	 0.824930 	 0.902382 	 7.976400 
2016-05-28-21-52-04-wahrsis3-undist.jpg 	 0.998923 	 0.887281 	 0.939798 	 5.039200 
2016-05-28-22-02-03-wahrsis3-undist.jpg 	 0.995868 	 0.941259 	 0.967794 	 3.510000 
2016-05-28-22-06-04-wahrsis3-undist.jpg 	 0.998870 	 0.887191 	 0.939724 	 6.985200 
2016-05-28-22-12-03-wahrsis3-undist.jpg 	 0.999652 	 0.895935 	 0.944956 	 5.894400 
2016-05-28-22-26-04-wahrsis3-undist.jpg 	 0.999390 	 0.886268 	 0.939436 	 7.769600 
2016-05-28-22-36-03-wahrsis3-undist.jpg 	 0.992895 	 0.775049 	 0.870551 	 12.418800 
2016-05-28-22-42-03-wahrsis3-undist.jpg 	 0.996497 	 0.860316 	 0.923412 	 5.832000 
2016-05-28-22-50-04-wahrsis3-undist.jpg 	 0.950122 	 0.992917 	 0.971048 	 1.695200 
2016-05-28-23-06-04-wahrsis3-undist.jpg 	 0.963973 	 0.962808 	 0.963390 	 2.010000 
2016-05-28-23-10-03-wahrsis3-undist.jpg 	 0.951941 	 0.955721 	 0.953827 	 1.612400 
2016-05-28-23-12-04-wahrsis3-undist.jpg 	 0.991892 	 0.905513 	 0.946736 	 3.281600 
2016-05-28-23-18-04-wahrsis3-undist.jpg 	 0.990889 	 0.925250 	 0.956945 	 3.530800 
2016-05-28-23-28-04-wahrsis3-undist.jpg 	 0.994005 	 0.842586 	 0.912054 	 7.009200 
2016-05-28-23-34-04-wahrsis3-undist.jpg 	 0.997648 	 0.844256 	 0.914565 	 7.860400 
2016-05-28-23-38-04-wahrsis3-undist.jpg 	 0.999588 	 0.887066 	 0.939972 	 6.202800 
2016-05-28-23-44-04-wahrsis3-undist.jpg 	 0.999959 	 0.745735 	 0.854336 	 16.728800 
2016-05-28-23-48-04-wahrsis3-undist.jpg 	 0.999867 	 0.874593 	 0.933044 	 9.093200 
2016-06-03-03-26-04-wahrsis3-undist.jpg 	 0.948053 	 0.910772 	 0.929039 	 5.233600 
2016-06-03-03-32-04-wahrsis3-undist.jpg 	 0.978484 	 0.714198 	 0.825709 	 15.450800 
2016-06-15-01-36-04-wahrsis3-undist.jpg 	 0.985122 	 0.846621 	 0.910635 	 7.288000 
2016-06-15-02-10-04-wahrsis3-undist.jpg 	 0.971496 	 0.663427 	 0.788437 	 10.989200 
2016-06-15-02-26-03-wahrsis3-undist.jpg 	 0.965655 	 0.929699 	 0.947336 	 1.983200 
2016-06-15-02-46-04-wahrsis3-undist.jpg 	 0.995145 	 0.702966 	 0.823919 	 16.506400 
2016-06-15-03-04-04-wahrsis3-undist.jpg 	 0.993042 	 0.610119 	 0.755849 	 21.020800 
2016-06-15-03-08-04-wahrsis3-undist.jpg 	 0.994278 	 0.815013 	 0.895765 	 12.438800 
2016-06-15-03-26-04-wahrsis3-undist.jpg 	 0.986491 	 0.910277 	 0.946853 	 6.558400 
2016-06-15-03-54-04-wahrsis3-undist.jpg 	 0.993035 	 0.618362 	 0.762140 	 22.569200 
2016-07-08-01-44-03-wahrsis3-undist.jpg 	 0.122077 	 0.979184 	 0.217089 	 13.300400 
2016-07-08-02-38-03-wahrsis3-undist.jpg 	 0.994633 	 0.703038 	 0.823793 	 3.615200 
2016-07-08-02-48-04-wahrsis3-undist.jpg 	 0.964751 	 0.528082 	 0.682552 	 6.059200 
2016-08-30-02-38-07-wahrsis3-undist.jpg 	 0.991241 	 0.775920 	 0.870463 	 8.056800 
2016-08-30-02-48-06-wahrsis3-undist.jpg 	 0.992717 	 0.737649 	 0.846384 	 11.301600 
2016-09-27-03-10-04-wahrsis3-undist.jpg 	 0.509200 	 0.790425 	 0.619386 	 15.494800 
2016-10-06-03-58-04-wahrsis3-undist.jpg 	 1.000000 	 0.630582 	 0.773444 	 24.156400 
2016-10-09-02-32-03-wahrsis3-undist.jpg 	 0.999989 	 0.503817 	 0.670049 	 35.200800 
2016-10-12-02-02-04-wahrsis3-undist.jpg 	 0.996391 	 0.652489 	 0.788577 	 19.361200 
2016-10-12-03-40-04-wahrsis3-undist.jpg 	 0.998521 	 0.768879 	 0.868781 	 6.690000 
